"Date","ED_data","Day_rolling_avg_10"
"24JUL2024",".",0.027454
"25JUL2024",".",0.034441
"26JUL2024",".",0.038358
"27JUL2024",".",0.038358
"28JUL2024",341,0.047745
"29JUL2024",".",0.047745
"30JUL2024",".",0.046563
"31JUL2024",".",0.046563
"01AUG2024",".",0.051588
"02AUG2024",".",0.055422
"03AUG2024",".",0.055422
"04AUG2024",331,0.055432
"05AUG2024",".",0.055432
"06AUG2024",".",0.049393
"07AUG2024",".",0.049393
"08AUG2024",".",0.050878
"09AUG2024",".",0.053105
"10AUG2024",".",0.053105
"11AUG2024",307,0.046324
"12AUG2024",".",0.046324
"13AUG2024",".",0.032535
"14AUG2024",".",0.032535
"15AUG2024",".",0.025497
"16AUG2024",".",0.021558
"17AUG2024",".",0.021558
"18AUG2024",337,0.004671
"19AUG2024",".",0.004671
"20AUG2024",".",0.005148
"21AUG2024",".",0.005148
"22AUG2024",".",0.005916
"23AUG2024",".",0.006236
"24AUG2024",".",0.006236
"25AUG2024",".",0.007160
"26AUG2024",".",0.007160
"27AUG2024",".",0.007160
"28AUG2024",".",0.007160
"29AUG2024",".",0.007160
"30AUG2024",".",0.008217
"31AUG2024",".",0.008217
".",".","."
".",".","."

